average rating,num reviews, title, category
3.2,12,Simple Checkbook Ledger,Finance
2.9,9,Inventory Tracker,Finance
2.9,10,Scholly,Finance
3.7,10,Budget Planner for Kindle Fire,Finance
3.5,6,StockSpy - Stocks Watchlists Investor News Real Time Quotes & Charts,Finance
3.5,125,Debt Payoff Planner,Finance
3.7,182,Home Budget Manager,Finance
3.2,12,Simple Checkbook Ledger,Finance
2.9,9,Inventory Tracker,Finance
2.9,10,Scholly,Finance
3.7,10,Budget Planner for Kindle Fire,Finance
3.5,6,StockSpy - Stocks Watchlists Investor News Real Time Quotes & Charts,Finance
3.6,9,Hidden Expedition: The Crown of Solomon Collector's Edition (Full),Games
3.6,9,Hidden Expedition: The Crown of Solomon Collector's Edition (Full),Games
3.7,66,Rain - Rainy view with soothing sounds,Health & Fitness
0.0,0,Starting Strength Official,Health & Fitness
3.9,91,Weight Watchers Max,Health & Fitness
3.9,24,Full Fitness - Fitbit Trainer,Health & Fitness
3.8,83,The Wonder Weeks,Health & Fitness
3.5,214,CarbsControl - Carb Counter and Tracker,Health & Fitness
3.7,66,Rain - Rainy view with soothing sounds,Health & Fitness
0.0,0,Starting Strength Official,Health & Fitness
3.9,91,Weight Watchers Max,Health & Fitness
3.9,24,Full Fitness - Fitbit Trainer,Health & Fitness
3.8,83,The Wonder Weeks,Health & Fitness
3.5,214,CarbsControl - Carb Counter and Tracker,Health & Fitness
3.7,167,PAW Patrol Rescue Run,Kids
3.3,37,Blaze and the Monster Machines (Fire Edition),Kids
3.7,167,PAW Patrol Rescue Run,Kids
3.3,37,Blaze and the Monster Machines (Fire Edition),Kids
2.8,358,AirPlay/DLNA Receiver (PRO),Lifestyle
3.5,119,Peaceful Aquarium HD,Lifestyle
3.5,4,Galactic Space Journey HD [5.1 Dolby Digital Music + 1hr video],Lifestyle
0.0,0,Client for Ebates for Kindle Fire,Lifestyle
2.5,6,Calm Aquarium - Meditate with Fishes,Lifestyle
2.5,6,Live Streaming from Periscope-Live Video Stream for Twitter,Lifestyle
1.0,7,Colorfy:Geometry Coloring Pages for Adults,Lifestyle
2.8,358,AirPlay/DLNA Receiver (PRO),Lifestyle
3.5,119,Peaceful Aquarium HD,Lifestyle
3.5,4,Galactic Space Journey HD [5.1 Dolby Digital Music + 1hr video],Lifestyle
0.0,0,Client for Ebates for Kindle Fire,Lifestyle
2.5,6,Calm Aquarium - Meditate with Fishes,Lifestyle
2.5,6,Live Streaming from Periscope-Live Video Stream for Twitter,Lifestyle
1.0,7,Colorfy:Geometry Coloring Pages for Adults,Lifestyle
2.9,212,AirReceiver,Music
2.9,27,Sing Karaoke with Lyrics Free,Music
2.6,10,Music of Magic Piano,Music
3.9,250,Ultimate Guitar Tabs,Music
3.1,113,MP3 Mover for Amazon Music,Music
3.0,22,Musify - Free Unlimited Music Streamer & MP3 Player,Music
3.6,246,iSyncr for iTunes to Android (Pro),Music
3.8,67,J4T Multitrack Recorder,Music
2.9,212,AirReceiver,Music
2.9,27,Sing Karaoke with Lyrics Free,Music
2.6,10,Music of Magic Piano,Music
3.9,250,Ultimate Guitar Tabs,Music
3.1,113,MP3 Mover for Amazon Music,Music
3.0,22,Musify - Free Unlimited Music Streamer & MP3 Player,Music
3.6,246,iSyncr for iTunes to Android (Pro),Music
3.8,67,J4T Multitrack Recorder,Music
3.3,22,3D Earth Map for google earth,Navigation
3.2,456,GPS Maps with HD Street View,Navigation
3.6,260,Tab for Google Maps & offline map,Navigation
3.2,89,Nav for Google Maps,Navigation
3.7,56,US Topo Maps Pro,Navigation
2.8,5,3D StreetView,Navigation
3.5,6,Night Sky map,Navigation
3.5,6,Gps Maps Free,Navigation
3.3,22,3D Earth Map for google earth,Navigation
3.2,456,GPS Maps with HD Street View,Navigation
3.6,260,Tab for Google Maps & offline map,Navigation
3.2,89,Nav for Google Maps,Navigation
3.7,56,US Topo Maps Pro,Navigation
2.8,5,3D StreetView,Navigation
3.5,6,Night Sky map,Navigation
3.5,6,Gps Maps Free,Navigation
3.6,94,Conservative Talk Radio,News & Magazines
3.8,86,NASA Now,News & Magazines
3.8,79,Earthquake Finder,News & Magazines
3.4,5,Police Scanner Radio Plus,News & Magazines
3.7,3,Stars and Stripes,News & Magazines
2.8,38,Politifact Mobile,News & Magazines
3.6,94,Conservative Talk Radio,News & Magazines
3.8,86,NASA Now,News & Magazines
3.8,79,Earthquake Finder,News & Magazines
3.4,5,Police Scanner Radio Plus,News & Magazines
3.7,3,Stars and Stripes,News & Magazines
2.8,38,Politifact Mobile,News & Magazines
1.5,61,X-Ray Scanner,Novelty
3.2,32,Fortune Cookies,Novelty
2.7,44,Newton's Cradle (Kindle Tablet Edition),Novelty
0.0,0,Thunderify Pro,Novelty
1.0,6,Nice or Naughty Finger Scanner,Novelty
3.5,71,iLove Check,Novelty
3.0,6,Speech Jammer Gun Brain Confuser - Stop Speech,Novelty
3.2,6,Greeting Card Maker Pro,Novelty
1.5,61,X-Ray Scanner,Novelty
3.2,32,Fortune Cookies,Novelty
2.7,44,Newton's Cradle (Kindle Tablet Edition),Novelty
0.0,0,Thunderify Pro,Novelty
1.0,6,Nice or Naughty Finger Scanner,Novelty
3.5,71,iLove Check,Novelty
3.4,146,Hidden Objects USA - New York Florida Vegas Hollywood & Puzzle Travel Games,Novelty
3.0,6,Speech Jammer Gun Brain Confuser - Stop Speech,Novelty
3.2,6,Greeting Card Maker Pro,Novelty
3.9,119,DoggCatcher Podcast Player,Podcasts
3.4,18,Podcast HD (Kindle Tablet Edition),Podcasts
3.0,3,FlashOTR: Old Time Radio,Podcasts
3.9,119,DoggCatcher Podcast Player,Podcasts
3.4,18,Podcast HD (Kindle Tablet Edition),Podcasts
3.0,3,FlashOTR: Old Time Radio,Podcasts
1.0,11,Google Docs,Productivity
1.0,6,FojoClasses for Kindle Fire,Productivity
3.7,54,Android Office: Word for Kindle Fire,Productivity
3.4,119,Email Client for Outlook/Hotmail,Productivity
1.3,3,Google Drive,Productivity
2.6,71,Kindle Client for Dropbox,Productivity
1.0,3,Google Sheets,Productivity
1.0,11,Google Docs,Productivity
1.0,6,FojoClasses for Kindle Fire,Productivity
3.7,54,Android Office: Word for Kindle Fire,Productivity
3.4,119,Email Client for Outlook/Hotmail,Productivity
1.3,3,Google Drive,Productivity
1.0,3,Google Sheets,Productivity
0.0,0,Google Docs,Productivity
3.0,6,Home Improvement Lists,Real Estate
0.0,0,Pennsylvania Real Estate Agent Exam Prep,Real Estate
2.0,6,Moving Planner,Real Estate
2.0,6,Home Inspection Checklist,Real Estate
0.0,0,DreamPlan Plus Edition,Real Estate
3.0,6,Home Improvement Lists,Real Estate
0.0,0,Pennsylvania Real Estate Agent Exam Prep,Real Estate
2.0,6,Moving Planner,Real Estate
2.0,6,Home Inspection Checklist,Real Estate
0.0,0,DreamPlan Plus Edition,Real Estate
3.3,330,The Night Sky,Reference
1.7,15,Terraria Cheats Codes Hacks,Reference
3.0,6,How To Draw Lego Marvel Super Heroes - Pro Edition,Reference
3.3,330,The Night Sky,Reference
1.7,15,Terraria Cheats Codes Hacks,Reference
3.0,6,How To Draw Lego Marvel Super Heroes - Pro Edition,Reference
3.8,31,Telephone Sounds,Ringtones
3.8,8,Notification Tones,Ringtones
0.0,0,Halloween Movie Theme Ringtone,Ringtones
3.5,33,Business Ringtones Pro,Ringtones
0.0,0,24 Theme Ringtone and Alert,Ringtones
0.0,0,Andy Griffith Show Ringtone,Ringtones
3.8,31,Telephone Sounds,Ringtones
3.8,8,Notification Tones,Ringtones
0.0,0,Halloween Movie Theme Ringtone,Ringtones
3.5,33,Business Ringtones Pro,Ringtones
0.0,0,24 Theme Ringtone and Alert,Ringtones
0.0,0,Andy Griffith Show Ringtone,Ringtones
2.5,12,True Car,Shopping
2.2,40,Barcode Scanner + for Kindle Fire,Shopping
2.0,26,Makeup Diva,Shopping
3.4,102,Grocery Shopping List,Shopping
2.0,6,Etsy Treasures Keeper,Shopping
0.0,0,Patpat - Daily Deals for Moms & Babies,Shopping
2.2,40,Barcode Scanner + for Kindle Fire,Shopping
2.0,26,Makeup Diva,Shopping
3.4,102,Grocery Shopping List,Shopping
2.0,6,Etsy Treasures Keeper,Shopping
3.8,11,Coupon-Mart Home Of Coupons ( no popup ads.),Shopping
0.0,0,Patpat - Daily Deals for Moms & Babies,Shopping
1.4,104,Instagram for Kindle - Instagmobile,Social Networking
2.5,25,Periscope Now - Live Video Streams for Twitter,Social Networking
1.0,6,Insta For Kindle,Social Networking
2.6,20,Naughty Emoticons HD,Social Networking
0.0,0,Badoo For Kindle,Social Networking
2.3,21,Naughty Emojis,Social Networking
3.4,223,Padgram Pro - Instagram Client for Kindle,Social Networking
3.0,3,All Social Network Pro(No Add's),Social Networking
1.4,104,Instagram for Kindle - Instagmobile,Social Networking
2.5,25,Periscope Now - Live Video Streams for Twitter,Social Networking
1.0,6,Insta For Kindle,Social Networking
0.0,0,Badoo For Kindle,Social Networking
3.4,223,Padgram Pro - Instagram Client for Kindle,Social Networking
3.0,3,All Social Network Pro(No Add's),Social Networking
3.1,26,Pro Football Radio & Live Scores,Sports
1.0,6,US Open Tennis News and Live Tv,Sports
3.8,8,Draft Oracle,Sports
